Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883,0.882,0.935,0.939,0.938,0.939,0.939,0.904
2,0.79,0.789,0.876,0.885,0.884,0.885,0.885,0.847
3,0.711,0.709,0.84,0.832,0.831,0.832,0.832,0.809
4,0.651,0.65,0.828,0.79,0.788,0.79,0.79,0.748
5,0.604,0.603,0.816,0.754,0.751,0.754,0.754,0.69
6,0.564,0.562,0.807,0.722,0.719,0.722,0.722,0.646
7,0.521,0.519,0.796,0.688,0.685,0.688,0.688,0.542
8,0.489,0.488,0.787,0.66,0.657,0.66,0.66,0.474
9,0.462,0.461,0.777,0.635,0.632,0.635,0.635,0.409
10,0.437,0.435,0.757,0.61,0.607,0.61,0.61,0.278
