Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.9,0.899,0.933,0.948,0.948,0.948,0.948,0.924
2,0.818,0.817,0.906,0.901,0.899,0.901,0.901,0.836
3,0.741,0.74,0.889,0.854,0.853,0.854,0.854,0.78
4,0.689,0.687,0.88,0.818,0.816,0.818,0.818,0.659
5,0.643,0.642,0.872,0.784,0.782,0.784,0.784,0.627
6,0.6,0.599,0.864,0.751,0.749,0.751,0.751,0.493
7,0.561,0.56,0.831,0.72,0.717,0.72,0.72,0.417
8,0.53,0.529,0.822,0.694,0.692,0.694,0.694,0.316
9,0.5,0.499,0.806,0.668,0.666,0.668,0.668,0.21
10,0.471,0.47,0.77,0.642,0.639,0.642,0.642,0.135
