Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A2-A4,0.57,0.223,0.466,0.65,0.109,0.522,0.627,0.939,0.953
A2-A1,0.65,0.27,0.556,0.714,0.155,0.555,0.686,0.962,0.966
A2-A3,0.488,0.175,0.508,0.614,0.087,0.466,0.594,0.898,0.94
