Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A2-A1,0.535,0.118,0.44,0.625,0.045,0.418,0.59,0.907,0.91
A2-A4,0.523,0.081,0.408,0.62,0.02,0.368,0.585,0.885,0.893
A2-A3,0.471,0.043,0.403,0.582,0.009,0.366,0.561,0.838,0.857
