Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.854,0.846,0.979,0.923,0.905,0.923,0.923,0.872
2,0.752,0.744,0.963,0.861,0.843,0.861,0.861,0.819
3,0.669,0.661,0.947,0.801,0.784,0.801,0.801,0.74
4,0.596,0.589,0.93,0.746,0.729,0.746,0.746,0.661
5,0.536,0.529,0.914,0.696,0.68,0.696,0.696,0.677
6,0.49,0.483,0.899,0.657,0.641,0.657,0.657,0.627
7,0.455,0.448,0.887,0.625,0.609,0.625,0.625,0.579
8,0.422,0.416,0.871,0.592,0.578,0.592,0.592,0.572
9,0.394,0.389,0.859,0.564,0.549,0.564,0.564,0.499
10,0.367,0.362,0.846,0.535,0.521,0.535,0.535,0.416
