Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.897,0.897,0.989,0.946,0.945,0.946,0.946,0.962
2,0.814,0.813,0.979,0.897,0.896,0.897,0.897,0.921
3,0.744,0.743,0.969,0.854,0.853,0.854,0.854,0.829
4,0.68,0.679,0.958,0.812,0.81,0.812,0.812,0.767
5,0.636,0.634,0.949,0.78,0.778,0.78,0.78,0.747
6,0.593,0.591,0.94,0.748,0.746,0.748,0.748,0.744
7,0.555,0.553,0.93,0.717,0.715,0.717,0.717,0.722
8,0.524,0.522,0.922,0.691,0.689,0.691,0.691,0.68
9,0.494,0.493,0.912,0.665,0.662,0.665,0.665,0.689
10,0.469,0.468,0.904,0.642,0.639,0.642,0.642,0.654
