Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.865,0.859,0.889,0.935,0.921,0.935,0.935,0.897
2,0.718,0.712,0.778,0.86,0.845,0.86,0.86,0.792
3,0.531,0.526,0.65,0.757,0.739,0.757,0.757,0.663
4,0.435,0.43,0.583,0.705,0.685,0.705,0.705,0.614
5,0.278,0.274,0.47,0.612,0.589,0.612,0.612,0.525
6,0.206,0.202,0.42,0.562,0.538,0.562,0.562,0.245
7,0.097,0.095,0.327,0.469,0.442,0.469,0.469,0.078
8,0.052,0.051,0.278,0.413,0.384,0.413,0.413,0.0
9,0.009,0.008,0.187,0.311,0.277,0.311,0.311,0.0
10,0.002,0.002,0.141,0.254,0.218,0.254,0.254,0.0
