Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.955,0.948,0.956,0.978,0.964,0.978,0.978,0.951
2,0.907,0.901,0.916,0.955,0.94,0.955,0.955,0.896
3,0.812,0.805,0.831,0.908,0.892,0.908,0.908,0.859
4,0.644,0.638,0.713,0.824,0.806,0.824,0.824,0.794
5,0.503,0.498,0.612,0.741,0.72,0.741,0.741,0.695
6,0.413,0.408,0.553,0.691,0.669,0.691,0.691,0.44
7,0.265,0.26,0.454,0.6,0.574,0.6,0.6,0.261
8,0.202,0.199,0.413,0.556,0.529,0.556,0.556,0.0
9,0.048,0.047,0.25,0.39,0.363,0.39,0.39,0.0
10,0.022,0.021,0.215,0.338,0.301,0.338,0.338,0.0
