Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.403,0.073,0.339,0.529,0.023,0.347,0.491,0.808,0.878
A1-A3,0.88,0.707,0.799,0.922,0.601,0.911,0.914,0.849,0.893
A1-A4,0.88,0.707,0.799,0.922,0.601,0.911,0.914,0.849,0.893
