Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.474,0.117,0.341,0.584,0.047,0.395,0.544,0.673,0.749
A1-A3,0.652,0.238,0.502,0.741,0.106,0.576,0.722,0.831,0.888
A1-A4,0.613,0.234,0.423,0.686,0.108,0.54,0.667,0.801,0.876
