Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_LCT0,VCS_LCT1
A1-A2,0.444,0.109,0.313,0.581,0.038,0.406,0.545,0.812,0.878
A1-A4,0.366,0.111,0.306,0.582,0.055,0.384,0.562,0.672,0.794
A1-A3,0.704,0.279,0.501,0.742,0.122,0.588,0.726,0.911,0.953
