Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.939,0.939,0.941,0.97,0.97,0.97,0.97,0.949
2,0.793,0.793,0.825,0.898,0.896,0.898,0.898,0.892
3,0.743,0.743,0.787,0.873,0.87,0.873,0.873,0.782
4,0.659,0.659,0.73,0.831,0.828,0.831,0.831,0.709
5,0.555,0.555,0.657,0.777,0.773,0.777,0.777,0.601
6,0.411,0.411,0.564,0.699,0.692,0.699,0.699,0.465
7,0.282,0.282,0.478,0.622,0.612,0.622,0.622,0.402
8,0.124,0.124,0.35,0.502,0.489,0.502,0.502,0.114
9,0.085,0.085,0.314,0.462,0.447,0.462,0.462,0.0
10,0.008,0.008,0.192,0.304,0.283,0.304,0.304,0.0
