Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_C1_LCT0,VCS_C1_LCT1
A2-A4,0.624,0.18,0.469,0.681,0.07,0.356,0.627,0.706,0.892
A2-A3,0.559,0.173,0.477,0.649,0.076,0.359,0.614,0.731,0.88
A2-A1,0.515,0.196,0.476,0.624,0.11,0.394,0.585,0.782,0.841
