Comparison,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS_C1_LCT0,VCS_C1_LCT1
A2-A1,0.579,0.188,0.517,0.673,0.089,0.485,0.63,0.902,0.938
A2-A4,0.546,0.174,0.48,0.642,0.085,0.458,0.596,0.803,0.918
A2-A3,0.497,0.125,0.497,0.636,0.05,0.449,0.604,0.849,0.922
