Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.91,0.91,0.99,0.953,0.953,0.953,0.953,0.899
2,0.822,0.821,0.978,0.902,0.901,0.902,0.902,0.832
3,0.756,0.755,0.968,0.861,0.86,0.861,0.861,0.789
4,0.695,0.693,0.958,0.819,0.817,0.819,0.819,0.78
5,0.641,0.64,0.947,0.782,0.78,0.782,0.782,0.727
6,0.6,0.599,0.937,0.75,0.748,0.75,0.75,0.683
7,0.566,0.565,0.929,0.722,0.719,0.722,0.722,0.629
8,0.536,0.535,0.92,0.695,0.693,0.695,0.695,0.612
9,0.509,0.508,0.912,0.671,0.668,0.671,0.671,0.578
10,0.485,0.484,0.904,0.649,0.647,0.649,0.649,0.546
