Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.92,0.92,0.992,0.958,0.957,0.958,0.958,0.902
2,0.84,0.839,0.982,0.912,0.911,0.912,0.912,0.873
3,0.777,0.776,0.973,0.874,0.873,0.874,0.874,0.838
4,0.718,0.717,0.964,0.837,0.836,0.837,0.837,0.796
5,0.677,0.676,0.956,0.809,0.808,0.809,0.809,0.749
6,0.631,0.63,0.947,0.777,0.776,0.777,0.777,0.739
7,0.592,0.59,0.938,0.748,0.746,0.748,0.748,0.726
8,0.563,0.561,0.931,0.724,0.722,0.724,0.724,0.669
9,0.534,0.533,0.923,0.7,0.698,0.7,0.7,0.638
10,0.51,0.509,0.916,0.677,0.675,0.677,0.677,0.514
