Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883,0.882,0.987,0.936,0.935,0.936,0.936,0.901
2,0.796,0.795,0.976,0.885,0.884,0.885,0.885,0.792
3,0.713,0.712,0.963,0.83,0.828,0.83,0.83,0.74
4,0.656,0.654,0.952,0.79,0.788,0.79,0.79,0.68
5,0.598,0.597,0.939,0.746,0.743,0.746,0.746,0.53
6,0.557,0.556,0.928,0.712,0.709,0.712,0.712,0.544
7,0.515,0.514,0.916,0.676,0.673,0.676,0.676,0.49
8,0.481,0.48,0.905,0.646,0.643,0.646,0.646,0.476
9,0.449,0.447,0.894,0.617,0.614,0.617,0.617,0.457
10,0.426,0.424,0.885,0.595,0.592,0.595,0.595,0.391
