Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.863,0.862,0.986,0.929,0.928,0.929,0.929,0.837
2,0.759,0.758,0.972,0.867,0.866,0.867,0.867,0.791
3,0.689,0.688,0.96,0.818,0.816,0.818,0.818,0.762
4,0.627,0.626,0.948,0.774,0.772,0.774,0.774,0.709
5,0.569,0.567,0.934,0.731,0.728,0.731,0.731,0.708
6,0.525,0.523,0.922,0.694,0.691,0.694,0.694,0.656
7,0.487,0.485,0.91,0.661,0.658,0.661,0.661,0.584
8,0.456,0.454,0.9,0.633,0.63,0.633,0.633,0.577
9,0.428,0.426,0.889,0.606,0.602,0.606,0.606,0.531
10,0.402,0.401,0.878,0.581,0.577,0.581,0.581,0.419
