Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.924,0.923,0.992,0.959,0.959,0.959,0.959,0.934
2,0.853,0.853,0.984,0.921,0.92,0.921,0.921,0.904
3,0.795,0.794,0.976,0.884,0.883,0.884,0.884,0.864
4,0.748,0.747,0.969,0.854,0.853,0.854,0.854,0.826
5,0.7,0.699,0.961,0.822,0.821,0.822,0.822,0.774
6,0.661,0.66,0.953,0.794,0.792,0.794,0.794,0.723
7,0.62,0.619,0.945,0.764,0.763,0.764,0.764,0.676
8,0.59,0.588,0.937,0.741,0.74,0.741,0.741,0.647
9,0.556,0.555,0.929,0.716,0.714,0.716,0.716,0.604
10,0.532,0.531,0.922,0.695,0.693,0.695,0.695,0.574
