Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.918,0.917,0.991,0.954,0.954,0.954,0.954,0.928
2,0.841,0.84,0.982,0.912,0.911,0.912,0.912,0.897
3,0.776,0.775,0.973,0.872,0.871,0.872,0.872,0.858
4,0.72,0.719,0.964,0.836,0.835,0.836,0.836,0.862
5,0.673,0.672,0.955,0.804,0.803,0.804,0.804,0.837
6,0.635,0.634,0.947,0.776,0.774,0.776,0.776,0.779
7,0.594,0.592,0.937,0.745,0.743,0.745,0.745,0.742
8,0.561,0.559,0.929,0.718,0.716,0.718,0.718,0.676
9,0.532,0.531,0.921,0.693,0.691,0.693,0.693,0.697
10,0.507,0.505,0.913,0.672,0.67,0.672,0.672,0.629
