Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.886,0.885,0.988,0.936,0.936,0.936,0.936,0.875
2,0.793,0.792,0.975,0.882,0.881,0.882,0.882,0.791
3,0.708,0.706,0.962,0.829,0.827,0.829,0.829,0.686
4,0.651,0.649,0.951,0.788,0.786,0.788,0.788,0.677
5,0.594,0.592,0.939,0.745,0.743,0.745,0.745,0.62
6,0.546,0.545,0.927,0.706,0.703,0.706,0.706,0.597
7,0.505,0.503,0.914,0.672,0.669,0.672,0.672,0.531
8,0.472,0.47,0.904,0.642,0.639,0.642,0.642,0.489
9,0.444,0.442,0.893,0.616,0.612,0.616,0.616,0.458
10,0.418,0.417,0.883,0.591,0.588,0.591,0.591,0.41
