Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.89,0.889,0.988,0.943,0.942,0.943,0.943,0.907
2,0.799,0.797,0.976,0.887,0.885,0.887,0.887,0.846
3,0.722,0.72,0.964,0.838,0.837,0.838,0.838,0.755
4,0.657,0.655,0.952,0.794,0.791,0.794,0.794,0.701
5,0.602,0.601,0.94,0.753,0.751,0.753,0.753,0.652
6,0.552,0.55,0.928,0.715,0.712,0.715,0.715,0.598
7,0.513,0.511,0.916,0.682,0.679,0.682,0.682,0.566
8,0.481,0.48,0.906,0.652,0.649,0.652,0.652,0.541
9,0.449,0.448,0.894,0.622,0.619,0.622,0.622,0.54
10,0.426,0.424,0.885,0.599,0.596,0.599,0.599,0.475
