Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.854,0.853,0.984,0.92,0.919,0.92,0.92,0.845
2,0.749,0.747,0.969,0.852,0.85,0.852,0.852,0.775
3,0.661,0.659,0.954,0.794,0.791,0.794,0.794,0.691
4,0.592,0.59,0.94,0.742,0.739,0.742,0.742,0.567
5,0.536,0.534,0.925,0.698,0.694,0.698,0.698,0.525
6,0.49,0.488,0.911,0.658,0.654,0.658,0.658,0.488
7,0.452,0.45,0.898,0.622,0.618,0.622,0.622,0.472
8,0.417,0.415,0.884,0.587,0.583,0.587,0.587,0.442
9,0.387,0.385,0.871,0.557,0.553,0.557,0.557,0.339
10,0.365,0.363,0.859,0.533,0.529,0.533,0.533,0.332
