Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.909,0.909,0.99,0.951,0.951,0.951,0.951,0.887
2,0.831,0.83,0.98,0.907,0.906,0.907,0.907,0.847
3,0.759,0.758,0.97,0.864,0.863,0.864,0.864,0.737
4,0.704,0.703,0.96,0.828,0.826,0.828,0.828,0.748
5,0.658,0.656,0.951,0.794,0.792,0.794,0.794,0.708
6,0.613,0.612,0.942,0.76,0.758,0.76,0.76,0.65
7,0.578,0.576,0.933,0.732,0.73,0.732,0.732,0.613
8,0.543,0.542,0.923,0.703,0.7,0.703,0.703,0.576
9,0.515,0.514,0.915,0.679,0.677,0.679,0.679,0.535
10,0.487,0.485,0.906,0.655,0.652,0.655,0.655,0.452
