Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.877,0.876,0.987,0.936,0.935,0.936,0.936,0.888
2,0.778,0.777,0.975,0.88,0.878,0.88,0.88,0.813
3,0.713,0.711,0.964,0.837,0.835,0.837,0.837,0.791
4,0.659,0.657,0.954,0.8,0.798,0.8,0.8,0.746
5,0.61,0.608,0.944,0.761,0.759,0.761,0.761,0.754
6,0.566,0.564,0.933,0.727,0.724,0.727,0.727,0.711
7,0.529,0.527,0.924,0.696,0.694,0.696,0.696,0.69
8,0.496,0.494,0.913,0.667,0.664,0.667,0.667,0.658
9,0.466,0.465,0.904,0.64,0.637,0.64,0.64,0.619
10,0.438,0.436,0.893,0.613,0.61,0.613,0.613,0.596
