Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.927,0.927,0.992,0.96,0.959,0.96,0.96,0.958
2,0.857,0.857,0.984,0.921,0.921,0.921,0.921,0.884
3,0.797,0.796,0.976,0.886,0.885,0.886,0.886,0.803
4,0.75,0.749,0.968,0.856,0.855,0.856,0.856,0.666
5,0.708,0.707,0.961,0.827,0.826,0.827,0.827,0.661
6,0.664,0.663,0.952,0.795,0.794,0.795,0.795,0.627
7,0.625,0.624,0.944,0.766,0.765,0.766,0.766,0.59
8,0.596,0.595,0.937,0.744,0.742,0.744,0.744,0.54
9,0.564,0.563,0.929,0.719,0.718,0.719,0.719,0.553
10,0.538,0.537,0.922,0.697,0.695,0.697,0.697,0.422
