Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.913,0.913,0.991,0.955,0.955,0.955,0.955,0.924
2,0.843,0.842,0.982,0.914,0.913,0.914,0.914,0.884
3,0.776,0.775,0.973,0.874,0.873,0.874,0.874,0.795
4,0.723,0.722,0.964,0.839,0.838,0.839,0.839,0.795
5,0.669,0.668,0.954,0.803,0.802,0.803,0.803,0.733
6,0.63,0.629,0.946,0.775,0.773,0.775,0.775,0.691
7,0.592,0.591,0.937,0.746,0.744,0.746,0.746,0.655
8,0.562,0.561,0.93,0.721,0.719,0.721,0.721,0.585
9,0.532,0.53,0.921,0.695,0.693,0.695,0.695,0.505
10,0.507,0.506,0.914,0.673,0.671,0.673,0.673,0.474
