Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.771,0.768,0.973,0.863,0.859,0.863,0.863,0.861
2,0.628,0.624,0.948,0.765,0.759,0.765,0.765,0.733
3,0.514,0.51,0.921,0.672,0.664,0.672,0.672,0.636
4,0.435,0.431,0.895,0.601,0.593,0.601,0.601,0.517
5,0.384,0.38,0.873,0.547,0.538,0.547,0.547,0.385
6,0.342,0.338,0.851,0.501,0.493,0.501,0.501,0.275
7,0.312,0.308,0.833,0.468,0.46,0.468,0.468,0.149
8,0.283,0.279,0.814,0.434,0.426,0.434,0.434,0.145
9,0.261,0.258,0.796,0.407,0.399,0.407,0.407,0.15
10,0.239,0.236,0.775,0.379,0.371,0.379,0.379,0.063
