Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.814,0.812,0.978,0.897,0.895,0.897,0.897,0.862
2,0.686,0.684,0.958,0.813,0.809,0.813,0.813,0.783
3,0.593,0.591,0.938,0.743,0.739,0.743,0.743,0.757
4,0.534,0.532,0.924,0.696,0.691,0.696,0.696,0.684
5,0.484,0.482,0.908,0.651,0.647,0.651,0.651,0.609
6,0.436,0.433,0.891,0.607,0.602,0.607,0.607,0.567
7,0.395,0.393,0.874,0.569,0.563,0.569,0.569,0.469
8,0.366,0.364,0.86,0.539,0.533,0.539,0.539,0.326
9,0.337,0.335,0.844,0.508,0.503,0.508,0.508,0.365
10,0.317,0.315,0.832,0.486,0.48,0.486,0.486,0.29
