Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.817,0.815,0.98,0.9,0.898,0.9,0.9,0.864
2,0.68,0.678,0.958,0.813,0.81,0.813,0.813,0.748
3,0.583,0.58,0.937,0.742,0.737,0.742,0.742,0.656
4,0.515,0.513,0.918,0.685,0.68,0.685,0.685,0.568
5,0.465,0.462,0.902,0.637,0.632,0.637,0.637,0.586
6,0.423,0.42,0.885,0.595,0.589,0.595,0.595,0.412
7,0.39,0.387,0.87,0.56,0.555,0.56,0.56,0.342
8,0.361,0.359,0.856,0.53,0.525,0.53,0.53,0.416
9,0.337,0.334,0.842,0.502,0.496,0.502,0.502,0.373
10,0.314,0.311,0.827,0.475,0.47,0.475,0.475,0.26
