Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.889,0.888,0.988,0.941,0.94,0.941,0.941,0.859
2,0.805,0.804,0.977,0.892,0.891,0.892,0.892,0.88
3,0.732,0.73,0.966,0.844,0.842,0.844,0.844,0.79
4,0.676,0.675,0.956,0.803,0.801,0.803,0.803,0.746
5,0.623,0.622,0.945,0.764,0.762,0.764,0.764,0.715
6,0.576,0.574,0.933,0.726,0.724,0.726,0.726,0.668
7,0.533,0.532,0.921,0.693,0.69,0.693,0.693,0.6
8,0.501,0.499,0.911,0.665,0.662,0.665,0.665,0.586
9,0.474,0.473,0.902,0.641,0.638,0.641,0.641,0.581
10,0.446,0.445,0.891,0.614,0.611,0.614,0.614,0.499
