Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883,0.883,0.987,0.941,0.94,0.941,0.941,0.906
2,0.794,0.793,0.975,0.889,0.887,0.889,0.889,0.889
3,0.718,0.717,0.963,0.842,0.84,0.842,0.842,0.82
4,0.661,0.66,0.952,0.802,0.8,0.802,0.802,0.818
5,0.617,0.616,0.942,0.768,0.766,0.768,0.768,0.752
6,0.575,0.573,0.932,0.735,0.733,0.735,0.735,0.712
7,0.54,0.538,0.922,0.704,0.702,0.704,0.704,0.641
8,0.508,0.507,0.912,0.676,0.674,0.676,0.676,0.62
9,0.481,0.479,0.903,0.652,0.649,0.652,0.652,0.573
10,0.455,0.454,0.894,0.629,0.626,0.629,0.629,0.547
