Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.813,0.811,0.979,0.897,0.895,0.897,0.897,0.854
2,0.698,0.696,0.961,0.824,0.82,0.824,0.824,0.742
3,0.607,0.604,0.943,0.757,0.753,0.757,0.757,0.627
4,0.533,0.53,0.925,0.697,0.692,0.697,0.697,0.567
5,0.478,0.475,0.908,0.648,0.643,0.648,0.648,0.49
6,0.433,0.43,0.891,0.606,0.601,0.606,0.606,0.453
7,0.396,0.393,0.875,0.569,0.564,0.569,0.569,0.387
8,0.366,0.363,0.86,0.537,0.532,0.537,0.537,0.313
9,0.34,0.337,0.846,0.509,0.504,0.509,0.509,0.303
10,0.314,0.312,0.83,0.481,0.476,0.481,0.481,0.23
