Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.784,0.782,0.975,0.882,0.879,0.882,0.882,0.866
2,0.645,0.642,0.951,0.789,0.784,0.789,0.789,0.716
3,0.548,0.544,0.929,0.713,0.708,0.713,0.713,0.726
4,0.482,0.479,0.909,0.655,0.649,0.655,0.655,0.689
5,0.431,0.427,0.89,0.607,0.601,0.607,0.607,0.615
6,0.385,0.382,0.87,0.561,0.555,0.561,0.561,0.544
7,0.349,0.346,0.851,0.522,0.515,0.522,0.522,0.466
8,0.316,0.313,0.831,0.486,0.479,0.486,0.486,0.358
9,0.289,0.286,0.813,0.454,0.448,0.454,0.454,0.354
10,0.267,0.264,0.795,0.426,0.419,0.426,0.426,0.359
