Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.886,0.886,0.988,0.939,0.938,0.939,0.939,0.833
2,0.787,0.786,0.975,0.88,0.879,0.88,0.88,0.786
3,0.72,0.718,0.964,0.837,0.835,0.837,0.837,0.726
4,0.659,0.657,0.953,0.794,0.792,0.794,0.794,0.736
5,0.603,0.601,0.941,0.751,0.749,0.751,0.751,0.643
6,0.555,0.554,0.929,0.713,0.71,0.713,0.713,0.648
7,0.515,0.513,0.918,0.679,0.677,0.679,0.679,0.642
8,0.48,0.478,0.907,0.648,0.645,0.648,0.648,0.588
9,0.455,0.453,0.898,0.625,0.622,0.625,0.625,0.6
10,0.429,0.427,0.889,0.601,0.598,0.601,0.601,0.591
