Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.756,0.753,0.97,0.864,0.86,0.864,0.864,0.823
2,0.612,0.608,0.942,0.76,0.754,0.76,0.76,0.657
3,0.511,0.507,0.916,0.679,0.672,0.679,0.679,0.609
4,0.441,0.437,0.892,0.615,0.607,0.615,0.615,0.501
5,0.391,0.387,0.87,0.564,0.556,0.564,0.564,0.332
6,0.351,0.347,0.849,0.519,0.511,0.519,0.519,0.224
7,0.313,0.31,0.824,0.476,0.468,0.476,0.476,0.229
8,0.284,0.281,0.804,0.443,0.435,0.443,0.443,0.104
9,0.261,0.258,0.785,0.415,0.407,0.415,0.415,0.045
10,0.242,0.239,0.768,0.389,0.382,0.389,0.389,0.013
