Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.891,0.89,0.989,0.945,0.944,0.945,0.945,0.757
2,0.818,0.817,0.979,0.903,0.902,0.903,0.903,0.676
3,0.756,0.755,0.97,0.865,0.863,0.865,0.865,0.727
4,0.697,0.696,0.96,0.826,0.824,0.826,0.826,0.629
5,0.651,0.65,0.952,0.793,0.791,0.793,0.793,0.685
6,0.609,0.607,0.942,0.761,0.759,0.761,0.761,0.672
7,0.574,0.572,0.934,0.731,0.729,0.731,0.731,0.524
8,0.54,0.539,0.925,0.703,0.701,0.703,0.703,0.507
9,0.512,0.511,0.917,0.68,0.677,0.68,0.68,0.583
10,0.483,0.482,0.907,0.654,0.651,0.654,0.654,0.538
