Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.909,0.908,0.99,0.953,0.952,0.953,0.953,0.863
2,0.833,0.832,0.981,0.908,0.907,0.908,0.908,0.823
3,0.766,0.765,0.971,0.867,0.866,0.867,0.867,0.758
4,0.708,0.707,0.962,0.827,0.826,0.827,0.827,0.702
5,0.656,0.655,0.952,0.791,0.789,0.791,0.791,0.675
6,0.609,0.607,0.942,0.756,0.754,0.756,0.756,0.62
7,0.566,0.565,0.932,0.724,0.721,0.724,0.724,0.569
8,0.533,0.531,0.922,0.696,0.693,0.696,0.696,0.507
9,0.5,0.499,0.913,0.668,0.666,0.668,0.668,0.426
10,0.475,0.474,0.904,0.646,0.643,0.646,0.646,0.373
