Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.901,0.9,0.99,0.949,0.949,0.949,0.949,0.906
2,0.815,0.814,0.977,0.899,0.898,0.899,0.899,0.805
3,0.754,0.753,0.968,0.862,0.86,0.862,0.862,0.766
4,0.698,0.697,0.959,0.824,0.822,0.824,0.824,0.782
5,0.645,0.644,0.948,0.787,0.785,0.787,0.787,0.693
6,0.604,0.603,0.939,0.756,0.754,0.756,0.756,0.688
7,0.568,0.566,0.93,0.726,0.724,0.726,0.726,0.713
8,0.537,0.536,0.922,0.7,0.698,0.7,0.7,0.619
9,0.51,0.509,0.913,0.676,0.674,0.676,0.676,0.53
10,0.485,0.484,0.905,0.654,0.652,0.654,0.654,0.492
