Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.906,0.906,0.99,0.951,0.95,0.951,0.951,0.917
2,0.823,0.823,0.98,0.902,0.901,0.902,0.902,0.879
3,0.759,0.758,0.97,0.862,0.861,0.862,0.862,0.809
4,0.703,0.702,0.961,0.825,0.824,0.825,0.825,0.686
5,0.651,0.65,0.951,0.789,0.787,0.789,0.789,0.649
6,0.614,0.612,0.943,0.76,0.758,0.76,0.76,0.604
7,0.577,0.576,0.934,0.731,0.729,0.731,0.731,0.556
8,0.546,0.545,0.926,0.705,0.703,0.705,0.705,0.488
9,0.521,0.519,0.918,0.683,0.681,0.683,0.683,0.437
10,0.494,0.493,0.91,0.659,0.657,0.659,0.659,0.398
