Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.905,0.904,0.99,0.949,0.948,0.949,0.949,0.859
2,0.816,0.815,0.979,0.9,0.899,0.9,0.9,0.843
3,0.758,0.757,0.971,0.864,0.862,0.864,0.864,0.797
4,0.694,0.693,0.961,0.823,0.821,0.823,0.823,0.798
5,0.647,0.646,0.952,0.788,0.786,0.788,0.788,0.731
6,0.61,0.608,0.944,0.76,0.758,0.76,0.76,0.681
7,0.575,0.574,0.936,0.732,0.73,0.732,0.732,0.705
8,0.545,0.543,0.928,0.706,0.704,0.706,0.706,0.694
9,0.511,0.51,0.918,0.679,0.676,0.679,0.679,0.631
10,0.485,0.484,0.91,0.655,0.652,0.655,0.655,0.532
