Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.821,0.819,0.98,0.901,0.899,0.901,0.901,0.815
2,0.704,0.701,0.962,0.827,0.824,0.827,0.827,0.709
3,0.602,0.599,0.942,0.751,0.747,0.751,0.751,0.682
4,0.532,0.529,0.924,0.694,0.689,0.694,0.694,0.602
5,0.48,0.477,0.908,0.648,0.643,0.648,0.648,0.53
6,0.433,0.43,0.891,0.604,0.599,0.604,0.604,0.484
7,0.397,0.394,0.876,0.569,0.564,0.569,0.569,0.331
8,0.366,0.364,0.861,0.538,0.532,0.538,0.538,0.44
9,0.337,0.334,0.845,0.505,0.499,0.505,0.505,0.335
10,0.311,0.309,0.829,0.476,0.47,0.476,0.476,0.366
