Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.887,0.886,0.988,0.941,0.94,0.941,0.941,0.938
2,0.791,0.79,0.975,0.885,0.884,0.885,0.885,0.837
3,0.714,0.713,0.963,0.835,0.833,0.835,0.835,0.847
4,0.655,0.653,0.952,0.791,0.789,0.791,0.791,0.798
5,0.608,0.606,0.942,0.756,0.753,0.756,0.756,0.75
6,0.558,0.557,0.93,0.717,0.714,0.717,0.717,0.689
7,0.52,0.518,0.919,0.684,0.681,0.684,0.684,0.688
8,0.488,0.486,0.909,0.656,0.653,0.656,0.656,0.606
9,0.455,0.454,0.897,0.626,0.622,0.626,0.626,0.559
10,0.429,0.427,0.887,0.6,0.597,0.6,0.6,0.561
