Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.885,0.884,0.988,0.94,0.939,0.94,0.94,0.865
2,0.796,0.795,0.976,0.888,0.887,0.888,0.888,0.812
3,0.714,0.713,0.964,0.837,0.835,0.837,0.837,0.807
4,0.65,0.648,0.952,0.791,0.788,0.791,0.791,0.67
5,0.599,0.597,0.94,0.751,0.749,0.751,0.751,0.654
6,0.56,0.558,0.93,0.719,0.716,0.719,0.719,0.651
7,0.522,0.52,0.92,0.687,0.684,0.687,0.687,0.596
8,0.486,0.485,0.908,0.655,0.653,0.655,0.655,0.55
9,0.455,0.453,0.897,0.627,0.624,0.627,0.627,0.536
10,0.432,0.43,0.888,0.605,0.602,0.605,0.605,0.523
