Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.849,0.848,0.983,0.916,0.914,0.916,0.916,0.806
2,0.734,0.732,0.967,0.845,0.842,0.845,0.845,0.656
3,0.647,0.645,0.951,0.782,0.779,0.782,0.782,0.562
4,0.578,0.576,0.936,0.729,0.726,0.729,0.729,0.543
5,0.519,0.517,0.919,0.679,0.675,0.679,0.679,0.384
6,0.475,0.473,0.905,0.639,0.635,0.639,0.639,0.288
7,0.437,0.435,0.891,0.603,0.598,0.603,0.603,0.32
8,0.407,0.405,0.879,0.572,0.567,0.572,0.572,0.32
9,0.376,0.374,0.864,0.542,0.537,0.542,0.542,0.278
10,0.354,0.352,0.853,0.517,0.513,0.517,0.517,0.26
