Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.879,0.878,0.987,0.936,0.935,0.936,0.936,0.911
2,0.776,0.774,0.973,0.874,0.873,0.874,0.874,0.773
3,0.699,0.697,0.96,0.825,0.823,0.825,0.825,0.732
4,0.636,0.634,0.948,0.781,0.778,0.781,0.781,0.658
5,0.586,0.584,0.937,0.744,0.741,0.744,0.744,0.643
6,0.544,0.542,0.926,0.708,0.705,0.708,0.708,0.636
7,0.502,0.501,0.914,0.673,0.67,0.673,0.673,0.552
8,0.467,0.465,0.902,0.64,0.637,0.64,0.64,0.556
9,0.441,0.439,0.893,0.615,0.612,0.615,0.615,0.498
10,0.413,0.411,0.882,0.589,0.585,0.589,0.589,0.466
