Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.886,0.885,0.988,0.94,0.939,0.94,0.94,0.92
2,0.795,0.794,0.976,0.885,0.884,0.885,0.885,0.875
3,0.726,0.724,0.965,0.838,0.836,0.838,0.838,0.811
4,0.67,0.668,0.955,0.799,0.797,0.799,0.799,0.68
5,0.62,0.618,0.945,0.76,0.758,0.76,0.76,0.74
6,0.57,0.568,0.932,0.721,0.718,0.721,0.721,0.659
7,0.533,0.532,0.922,0.691,0.688,0.691,0.691,0.682
8,0.498,0.496,0.911,0.66,0.657,0.66,0.66,0.644
9,0.47,0.468,0.902,0.634,0.631,0.634,0.634,0.638
10,0.443,0.441,0.892,0.609,0.606,0.609,0.609,0.58
