Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.84,0.838,0.982,0.915,0.913,0.915,0.915,0.83
2,0.717,0.715,0.964,0.836,0.834,0.836,0.836,0.713
3,0.633,0.631,0.948,0.776,0.773,0.776,0.776,0.566
4,0.571,0.569,0.933,0.729,0.725,0.729,0.729,0.45
5,0.516,0.514,0.918,0.684,0.68,0.684,0.684,0.377
6,0.471,0.469,0.903,0.643,0.638,0.643,0.643,0.378
7,0.436,0.434,0.89,0.608,0.603,0.608,0.608,0.374
8,0.403,0.4,0.876,0.575,0.57,0.575,0.575,0.365
9,0.376,0.374,0.863,0.547,0.542,0.547,0.547,0.282
10,0.352,0.35,0.85,0.52,0.515,0.52,0.52,0.165
