Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.906,0.906,0.99,0.953,0.952,0.953,0.953,0.902
2,0.836,0.835,0.982,0.912,0.911,0.912,0.912,0.872
3,0.771,0.77,0.973,0.872,0.871,0.872,0.872,0.862
4,0.72,0.719,0.965,0.838,0.837,0.838,0.838,0.828
5,0.67,0.669,0.956,0.805,0.803,0.805,0.805,0.798
6,0.63,0.629,0.948,0.776,0.774,0.776,0.776,0.769
7,0.593,0.592,0.94,0.747,0.745,0.747,0.747,0.74
8,0.562,0.561,0.932,0.723,0.721,0.723,0.723,0.66
9,0.532,0.531,0.924,0.698,0.695,0.698,0.698,0.686
10,0.502,0.5,0.915,0.673,0.67,0.673,0.673,0.609
