Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.922,0.922,0.992,0.958,0.958,0.958,0.958,0.88
2,0.848,0.848,0.983,0.917,0.916,0.917,0.917,0.817
3,0.792,0.791,0.975,0.881,0.88,0.881,0.881,0.763
4,0.742,0.741,0.967,0.848,0.847,0.848,0.848,0.735
5,0.693,0.692,0.958,0.815,0.813,0.815,0.815,0.687
6,0.655,0.654,0.95,0.786,0.784,0.786,0.786,0.656
7,0.619,0.618,0.943,0.76,0.758,0.76,0.76,0.616
8,0.587,0.586,0.935,0.734,0.732,0.734,0.734,0.566
9,0.56,0.558,0.928,0.712,0.71,0.712,0.712,0.503
10,0.533,0.532,0.92,0.689,0.687,0.689,0.689,0.411
