Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.85,0.849,0.983,0.921,0.92,0.921,0.921,0.86
2,0.746,0.744,0.968,0.858,0.856,0.858,0.858,0.85
3,0.661,0.659,0.953,0.801,0.798,0.801,0.801,0.791
4,0.594,0.592,0.938,0.751,0.748,0.751,0.751,0.785
5,0.54,0.537,0.923,0.706,0.702,0.706,0.706,0.719
6,0.49,0.488,0.908,0.662,0.658,0.662,0.662,0.678
7,0.455,0.452,0.896,0.628,0.624,0.628,0.628,0.623
8,0.424,0.422,0.883,0.597,0.593,0.597,0.597,0.562
9,0.393,0.39,0.869,0.565,0.561,0.565,0.565,0.5
10,0.369,0.367,0.857,0.541,0.537,0.541,0.541,0.437
