Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.714,0.71,0.965,0.835,0.83,0.835,0.835,0.717
2,0.564,0.559,0.934,0.724,0.716,0.724,0.724,0.645
3,0.463,0.458,0.904,0.633,0.624,0.633,0.633,0.438
4,0.385,0.38,0.872,0.559,0.549,0.559,0.559,0.38
5,0.338,0.333,0.847,0.508,0.498,0.508,0.508,0.33
6,0.3,0.296,0.823,0.462,0.452,0.462,0.462,0.16
7,0.266,0.262,0.799,0.421,0.411,0.421,0.421,0.212
8,0.244,0.24,0.779,0.393,0.383,0.393,0.393,0.186
9,0.222,0.218,0.758,0.365,0.355,0.365,0.365,0.116
10,0.205,0.202,0.739,0.342,0.333,0.342,0.342,0.083
