Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.895,0.894,0.989,0.943,0.943,0.943,0.943,0.928
2,0.81,0.809,0.978,0.893,0.891,0.893,0.893,0.848
3,0.735,0.734,0.967,0.846,0.844,0.846,0.846,0.813
4,0.676,0.675,0.957,0.805,0.803,0.805,0.805,0.761
5,0.625,0.623,0.946,0.768,0.765,0.768,0.768,0.737
6,0.578,0.576,0.936,0.732,0.729,0.732,0.732,0.697
7,0.542,0.541,0.927,0.703,0.7,0.703,0.703,0.622
8,0.503,0.502,0.915,0.671,0.668,0.671,0.671,0.606
9,0.473,0.472,0.905,0.643,0.64,0.643,0.643,0.596
10,0.448,0.447,0.896,0.618,0.615,0.618,0.618,0.45
