Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.896,0.895,0.989,0.945,0.945,0.945,0.945,0.82
2,0.806,0.805,0.977,0.893,0.892,0.893,0.893,0.741
3,0.73,0.728,0.965,0.845,0.843,0.845,0.845,0.714
4,0.669,0.667,0.954,0.801,0.799,0.801,0.801,0.583
5,0.617,0.615,0.943,0.762,0.76,0.762,0.762,0.629
6,0.567,0.566,0.931,0.724,0.722,0.724,0.724,0.585
7,0.531,0.529,0.921,0.694,0.692,0.694,0.694,0.549
8,0.498,0.496,0.911,0.665,0.662,0.665,0.665,0.536
9,0.469,0.467,0.901,0.638,0.635,0.638,0.638,0.491
10,0.444,0.443,0.892,0.615,0.612,0.615,0.615,0.49
