Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.901,0.9,0.99,0.946,0.946,0.946,0.946,0.947
2,0.811,0.81,0.978,0.893,0.892,0.893,0.893,0.836
3,0.745,0.744,0.968,0.85,0.849,0.85,0.85,0.831
4,0.688,0.687,0.958,0.813,0.811,0.813,0.813,0.766
5,0.635,0.633,0.948,0.774,0.772,0.774,0.774,0.754
6,0.593,0.592,0.938,0.743,0.741,0.743,0.743,0.713
7,0.557,0.555,0.929,0.713,0.71,0.713,0.713,0.675
8,0.524,0.522,0.92,0.683,0.681,0.683,0.683,0.564
9,0.492,0.49,0.91,0.656,0.653,0.656,0.656,0.598
10,0.466,0.464,0.901,0.631,0.628,0.631,0.631,0.559
