Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.87,0.869,0.986,0.929,0.928,0.929,0.929,0.876
2,0.761,0.759,0.971,0.864,0.862,0.864,0.864,0.833
3,0.688,0.686,0.958,0.814,0.812,0.814,0.814,0.782
4,0.618,0.616,0.943,0.762,0.759,0.762,0.762,0.715
5,0.562,0.56,0.929,0.718,0.715,0.718,0.718,0.638
6,0.522,0.52,0.917,0.684,0.681,0.684,0.684,0.598
7,0.483,0.481,0.905,0.65,0.647,0.65,0.65,0.582
8,0.452,0.45,0.894,0.62,0.617,0.62,0.62,0.546
9,0.422,0.42,0.881,0.591,0.587,0.591,0.591,0.518
10,0.396,0.394,0.87,0.565,0.562,0.565,0.565,0.522
