Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.914,0.914,0.991,0.954,0.953,0.954,0.954,0.894
2,0.842,0.841,0.982,0.912,0.911,0.912,0.912,0.842
3,0.778,0.777,0.973,0.873,0.872,0.873,0.873,0.721
4,0.723,0.722,0.963,0.835,0.834,0.835,0.835,0.717
5,0.669,0.668,0.954,0.798,0.797,0.798,0.798,0.662
6,0.629,0.628,0.945,0.768,0.766,0.768,0.768,0.627
7,0.594,0.593,0.937,0.74,0.738,0.74,0.74,0.591
8,0.561,0.559,0.928,0.714,0.711,0.714,0.714,0.555
9,0.528,0.526,0.919,0.686,0.683,0.686,0.686,0.538
10,0.498,0.497,0.91,0.66,0.657,0.66,0.66,0.511
