Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.883,0.882,0.987,0.939,0.938,0.939,0.939,0.849
2,0.785,0.784,0.974,0.88,0.879,0.88,0.88,0.835
3,0.717,0.716,0.962,0.837,0.835,0.837,0.837,0.789
4,0.655,0.654,0.95,0.794,0.792,0.794,0.794,0.7
5,0.604,0.603,0.939,0.755,0.752,0.755,0.755,0.635
6,0.559,0.558,0.928,0.72,0.717,0.72,0.72,0.631
7,0.518,0.517,0.916,0.685,0.683,0.685,0.685,0.588
8,0.488,0.486,0.906,0.659,0.656,0.659,0.659,0.508
9,0.458,0.457,0.896,0.632,0.629,0.632,0.632,0.557
10,0.433,0.431,0.886,0.607,0.604,0.607,0.607,0.532
