Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.915,0.914,0.991,0.954,0.954,0.954,0.954,0.911
2,0.829,0.828,0.98,0.907,0.906,0.907,0.907,0.887
3,0.769,0.768,0.972,0.868,0.867,0.868,0.868,0.863
4,0.718,0.717,0.963,0.835,0.833,0.835,0.835,0.806
5,0.67,0.669,0.954,0.801,0.799,0.801,0.801,0.785
6,0.628,0.626,0.945,0.77,0.768,0.77,0.77,0.807
7,0.593,0.592,0.937,0.742,0.74,0.742,0.742,0.794
8,0.56,0.559,0.929,0.715,0.713,0.715,0.715,0.778
9,0.532,0.531,0.921,0.691,0.689,0.691,0.691,0.76
10,0.507,0.506,0.913,0.669,0.667,0.669,0.669,0.72
