Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.877,0.876,0.986,0.935,0.934,0.935,0.935,0.873
2,0.765,0.764,0.97,0.865,0.864,0.865,0.865,0.681
3,0.691,0.689,0.957,0.816,0.814,0.816,0.816,0.7
4,0.63,0.628,0.944,0.772,0.769,0.772,0.772,0.536
5,0.57,0.568,0.929,0.724,0.721,0.724,0.724,0.509
6,0.52,0.518,0.916,0.683,0.68,0.683,0.683,0.378
7,0.485,0.483,0.905,0.651,0.647,0.651,0.651,0.395
8,0.454,0.452,0.893,0.622,0.618,0.622,0.622,0.368
9,0.425,0.423,0.882,0.593,0.589,0.593,0.593,0.318
10,0.396,0.394,0.869,0.565,0.561,0.565,0.565,0.299
