Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.892,0.891,0.988,0.942,0.942,0.942,0.942,0.916
2,0.797,0.796,0.976,0.888,0.886,0.888,0.888,0.856
3,0.731,0.73,0.965,0.845,0.843,0.845,0.845,0.761
4,0.669,0.668,0.954,0.803,0.801,0.803,0.803,0.737
5,0.621,0.619,0.943,0.768,0.766,0.768,0.768,0.739
6,0.579,0.577,0.933,0.736,0.733,0.736,0.736,0.66
7,0.541,0.539,0.922,0.704,0.701,0.704,0.704,0.623
8,0.507,0.506,0.912,0.676,0.673,0.676,0.676,0.589
9,0.477,0.475,0.902,0.649,0.646,0.649,0.649,0.48
10,0.452,0.45,0.893,0.624,0.621,0.624,0.624,0.533
