Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.903,0.903,0.848,0.952,0.952,0.952,0.952,0.98
2,0.742,0.742,0.628,0.868,0.866,0.868,0.868,0.943
3,0.609,0.609,0.52,0.8,0.797,0.8,0.8,0.822
4,0.465,0.465,0.432,0.713,0.708,0.713,0.713,0.777
5,0.342,0.342,0.394,0.641,0.635,0.641,0.641,0.635
6,0.277,0.277,0.362,0.6,0.593,0.6,0.6,0.52
7,0.215,0.215,0.33,0.556,0.548,0.556,0.556,0.138
8,0.059,0.059,0.209,0.407,0.394,0.407,0.407,0.0
9,0.018,0.018,0.17,0.326,0.311,0.326,0.326,0.0
10,0.004,0.004,0.132,0.263,0.246,0.263,0.263,0.0
