Iteration,BLEU-1,BLEU-4,METEOR,ROUGE-1,ROUGE-4,ROUGE-L,ROUGE-Lsum,VCS
1,0.935,0.935,0.922,0.968,0.968,0.968,0.968,0.951
2,0.847,0.847,0.795,0.926,0.925,0.926,0.926,0.904
3,0.743,0.743,0.689,0.875,0.873,0.875,0.875,0.854
4,0.603,0.603,0.59,0.805,0.803,0.805,0.805,0.69
5,0.406,0.406,0.478,0.692,0.687,0.692,0.692,0.597
6,0.222,0.222,0.374,0.578,0.571,0.578,0.578,0.34
7,0.073,0.073,0.258,0.442,0.432,0.442,0.442,0.0
8,0.023,0.023,0.201,0.358,0.346,0.358,0.358,0.0
9,0.005,0.005,0.155,0.289,0.274,0.289,0.289,0.0
10,0.0,0.0,0.107,0.218,0.202,0.218,0.218,0.0
