Iteration,GAS,LAS,NAS-D,NAS-L,NAS,"NAS
+LAS(S)","GAS
+LAS(S)","GAS
+NAS-L(S)","GAS
+NAS-D(S)","GAS
+NAS(S)","GAS
+LAS(S)
+NAS-D(S)","GAS
+LAS(S)
+NAS-L(S)","GAS
+LAS(S)
+(NAS-D
+NAS-L)(S)"
1,0.960 ± 0.027,0.965 ± 0.018,0.957 ± 0.044,0.952 ± 0.039,0.952 ± 0.039,0.949 ± 0.042,0.958 ± 0.028,0.936 ± 0.037,0.935 ± 0.037,0.934 ± 0.035,0.935 ± 0.037,0.935 ± 0.037,0.933 ± 0.035
2,0.913 ± 0.050,0.927 ± 0.042,0.933 ± 0.016,0.917 ± 0.078,0.911 ± 0.046,0.902 ± 0.055,0.906 ± 0.052,0.869 ± 0.066,0.897 ± 0.044,0.876 ± 0.051,0.891 ± 0.047,0.865 ± 0.067,0.872 ± 0.054
3,0.881 ± 0.052,0.904 ± 0.043,0.894 ± 0.019,0.888 ± 0.079,0.872 ± 0.039,0.857 ± 0.051,0.869 ± 0.055,0.830 ± 0.063,0.852 ± 0.047,0.834 ± 0.051,0.844 ± 0.055,0.821 ± 0.065,0.826 ± 0.056
4,0.827 ± 0.060,0.846 ± 0.051,0.824 ± 0.015,0.853 ± 0.058,0.816 ± 0.024,0.781 ± 0.043,0.796 ± 0.067,0.772 ± 0.059,0.768 ± 0.058,0.758 ± 0.051,0.745 ± 0.078,0.747 ± 0.069,0.737 ± 0.072
5,0.799 ± 0.061,0.844 ± 0.054,0.808 ± 0.030,0.842 ± 0.074,0.800 ± 0.041,0.761 ± 0.066,0.763 ± 0.064,0.737 ± 0.065,0.727 ± 0.046,0.720 ± 0.052,0.700 ± 0.061,0.708 ± 0.072,0.693 ± 0.068
6,0.765 ± 0.048,0.799 ± 0.024,0.751 ± 0.036,0.776 ± 0.026,0.735 ± 0.004,0.668 ± 0.007,0.705 ± 0.068,0.684 ± 0.057,0.665 ± 0.066,0.646 ± 0.035,0.599 ± 0.093,0.620 ± 0.087,0.593 ± 0.087
7,0.719 ± 0.033,0.782 ± 0.020,0.736 ± 0.044,0.754 ± 0.037,0.706 ± 0.016,0.625 ± 0.013,0.641 ± 0.049,0.621 ± 0.022,0.608 ± 0.057,0.583 ± 0.034,0.510 ± 0.076,0.524 ± 0.044,0.491 ± 0.066
8,0.670 ± 0.047,0.763 ± 0.002,0.710 ± 0.039,0.724 ± 0.029,0.684 ± 0.013,0.586 ± 0.018,0.567 ± 0.062,0.536 ± 0.032,0.532 ± 0.088,0.507 ± 0.053,0.387 ± 0.116,0.404 ± 0.063,0.367 ± 0.093
9,0.640 ± 0.045,0.752 ± 0.008,0.704 ± 0.042,0.724 ± 0.030,0.673 ± 0.011,0.565 ± 0.019,0.521 ± 0.065,0.504 ± 0.043,0.485 ± 0.090,0.463 ± 0.073,0.314 ± 0.125,0.340 ± 0.064,0.287 ± 0.107
10,0.613 ± 0.017,0.736 ± 0.011,0.689 ± 0.048,0.711 ± 0.021,0.660 ± 0.022,0.538 ± 0.036,0.474 ± 0.031,0.455 ± 0.015,0.435 ± 0.061,0.412 ± 0.045,0.232 ± 0.091,0.260 ± 0.032,0.201 ± 0.072
